brand,kode_menu,nama_menu,cogs_bahan,cogs_packaging,cogs_total,harga_jual,margin_kotor_rp,margin_kotor_persen
Ayam Rempah Joglo,AR-01,Paket Ayam Rempah Kremes (1pc + nasi + sambal),7800,2000,9800,23000,13200,57
Ayam Rempah Joglo,AR-02,Paket Ayam Rempah Komplit (2pc + nasi + sambal),11100,2000,13100,33000,19900,60
Ayam Rempah Joglo,AR-03,Ayam Rempah + Nasi + Es Teh,8600,2000,10600,26000,15400,59
Ayam Rempah Joglo,AR-04,Nasi Ayam Rempah Sambal Ijo,8100,2000,10100,24000,13900,58
Ayam Rempah Joglo,AR-05,Ayam Rempah Ala Carte (1pc tanpa nasi),3800,1500,5300,15000,9700,65
Ayam Rempah Joglo,AR-06,Tahu Tempe Rempah (side),2500,1500,4000,10000,6000,60
Gochu Korean Chicken,GC-01,Rice Box Gochujang (boneless + nasi),10800,2000,12800,30000,17200,57
Gochu Korean Chicken,GC-02,Rice Box Soy Garlic (boneless + nasi),10500,2000,12500,30000,17500,58
Gochu Korean Chicken,GC-03,Rice Box Cheese (boneless + nasi),11500,2000,13500,32000,18500,58
Gochu Korean Chicken,GC-04,Rice Box Honey Butter (boneless + nasi),11000,2000,13000,31000,18000,58
Gochu Korean Chicken,GC-05,Chicken Only Boneless 150g (saus pilihan),10000,2000,12000,28000,16000,57
Gochu Korean Chicken,GC-06,Korean Wings 5pc (saus pilihan),11200,2000,13200,30000,16800,56
Mangkok Rice Bowl,MB-01,Chicken Katsu Rice Bowl,9900,2000,11900,26000,14100,54
Mangkok Rice Bowl,MB-02,Chicken Teriyaki Rice Bowl,9500,2000,11500,25000,13500,54
Mangkok Rice Bowl,MB-03,Chicken Blackpepper Rice Bowl,9600,2000,11600,25000,13400,54
Mangkok Rice Bowl,MB-04,Chicken Salted Egg Rice Bowl,10800,2000,12800,28000,15200,54
Mangkok Rice Bowl,MB-05,Chicken Katsu Curry Rice Bowl,10500,2000,12500,28000,15500,55
Mangkok Rice Bowl,MB-06,Chicken Popcorn Rice Bowl,8600,2000,10600,23000,12400,54
Kopi Sore,KS-01,Es Kopi Susu Gula Aren,5200,1800,7000,18000,11000,61
Kopi Sore,KS-02,Americano (panas/es),3200,1800,5000,15000,10000,67
Kopi Sore,KS-03,Kopi Susu Reguler,4400,1800,6200,16000,9800,61
Kopi Sore,KS-04,Es Kopi Susu Cokelat,6000,1800,7800,20000,12200,61
Kopi Sore,KS-05,Cokelat / Matcha Latte (non-kopi),6700,1800,8500,21000,12500,60
Kopi Sore,KS-06,Kopi Susu Botol 250ml,7500,2500,10000,25000,15000,60
