bulan,order_per_hari,order_per_bulan,revenue_rp,cogs_rp,komisi_platform_rp,opex_tetap_rp,laba_bersih_rp,laba_kumulatif_rp
1,40,1200,42000000,16800000,9240000,28000000,-12040000,-12040000
2,55,1650,57750000,23100000,12705000,28000000,-6055000,-18095000
3,70,2100,73500000,29400000,16170000,28000000,-70000,-18165000
4,85,2550,89250000,35700000,19635000,28000000,5915000,-12250000
5,95,2850,99750000,39900000,21945000,28000000,9905000,-2345000
6,105,3150,110250000,44100000,24255000,28000000,13895000,11550000
7,110,3300,115500000,46200000,25410000,28000000,15890000,27440000
8,115,3450,120750000,48300000,26565000,28000000,17885000,45325000
9,120,3600,126000000,50400000,27720000,28000000,19880000,65205000
10,125,3750,131250000,52500000,28875000,28000000,21875000,87080000
11,130,3900,136500000,54600000,30030000,28000000,23870000,110950000
12,130,3900,136500000,54600000,30030000,28000000,23870000,134820000
